type,GEODB_OID,GEODB_SUBT,OBJECTID,ASSET_ID,AM_OWNER,AM_OWNER_R,AM_DEPT,AM_DEPT_RE,AM_DATE,AM_MATERIA,AM_SIZE,AM_TYPE,AM_ESTIMAT,DRAW_TYPE,DRAW_TYPE_,COMMENTS,BLDG_ID,FACILITY_N,FACILITY_I,MET_INPUT,MET_TECH,MET_TECH_R,MET_OVR_BY,MET_OVR_TY,ENABLED,ENABLED_RE,ANCILLARYR,ANCILLAR00,GLOBALID,geo_type,first,second,geometry/coordinates/2
Feature,37,TANK,37,BLDG23377,DWV,DISTRICT OF WEST VANCOUVER,,,,,,4,,CONSTRUCTION,CONSTRUCTION,,BLDG23377,GLENMORE RESERVOIR,,13-Jun,K STORM,K STORM,,,1,TRUE,1,Source,{921B3A5E-BFD2-45B3-A121-47DF2F83B0E7},Point,491525.994,5467564.311,0
Feature,38,TANK,38,BLDG00623,GVRD,GREATER VANCOUVER REGIONAL DISTRICT,,,,,,4,,CONSTRUCTION,CONSTRUCTION,,BLDG00623,SARITA RESERVOIR,#41,13-Jun,K STORM,K STORM,,,1,TRUE,1,Source,{196475ED-B0B0-4EEB-953A-25C0B270110E},Point,493094.8827,5467487.046,0
Feature,39,TANK,39,BLDG23378,DNV,DISTRICT OF NORTH VANCOUVER,,,,,,4,,CONSTRUCTION,CONSTRUCTION,,BLDG23378,SKYLINE RESERVOIR,#42,13-Jun,K STORM,K STORM,,,1,TRUE,1,Source,{31012DC9-060C-43CF-9563-0C0B90FCE2A1},Point,493747.2113,5467183.193,0
Feature,40,TANK,40,BLDG23379,DNV,DISTRICT OF NORTH VANCOUVER,,,,,,4,,CONSTRUCTION,CONSTRUCTION,,BLDG23379,SKYLINE RESERVOIR,#42,13-Jun,K STORM,K STORM,,,1,TRUE,1,Source,{0A81BB78-60C0-45A6-8876-E8AD7539DD5B},Point,493752.7346,5467161.637,0
Feature,41,TANK,41,BLDG23380,DNV,DISTRICT OF NORTH VANCOUVER,,,,,,4,,CONSTRUCTION,CONSTRUCTION,,,PROSPECT RD RESERVOIR,#51,8-Apr,K STORM,K STORM,,,1,TRUE,1,Source,{669FD688-039A-47D2-AAE9-3E27A578744E},Point,494362.6839,5467155.465,0
Feature,42,TANK,42,BLDG23381,DNV,DISTRICT OF NORTH VANCOUVER,,,,,,4,,CONSTRUCTION,CONSTRUCTION,,,PROSPECT RD RESERVOIR,#51,8-Apr,K STORM,K STORM,,,1,TRUE,1,Source,{D56C6786-6115-4EFB-BD12-F257F99DB700},Point,494360.9575,5467136.845,0
Feature,43,TANK,43,BLDG23455,DNV,DISTRICT OF NORTH VANCOUVER,,,,,,4,,CONSTRUCTION,CONSTRUCTION,,,BRAEMAR RESERVOIR,#43,8-Apr,K STORM,K STORM,,,1,TRUE,1,Source,{F21ACB0D-2AF1-4C69-A05B-5DB51F01A4E2},Point,495833.1452,5465908.422,0
Feature,44,TANK,44,BLDG23455,DNV,DISTRICT OF NORTH VANCOUVER,,,,,,4,,CONSTRUCTION,CONSTRUCTION,,,BRAEMAR RESERVOIR,#43,8-Apr,K STORM,K STORM,,,1,TRUE,1,Source,{8C202C19-4772-4674-BC91-9524B689A52F},Point,495856.1416,5465896.444,0
Feature,45,TANK,45,BLDG23382,DNV,DISTRICT OF NORTH VANCOUVER,,,,,,4,,CONSTRUCTION,CONSTRUCTION,,,HYANNIS RESERVOIR,#48,8-Apr,K STORM,K STORM,,,1,TRUE,1,Source,{9F4F632B-2CE4-4F00-9D60-A89D5162488C},Point,500609.9711,5464230.343,0
Feature,46,TANK,46,BLDG23383,DNV,DISTRICT OF NORTH VANCOUVER,,,,,,4,,CONSTRUCTION,CONSTRUCTION,,,HYANNIS RESERVOIR,#48,8-Apr,K STORM,K STORM,,,1,TRUE,1,Source,{DE6E37AD-0B81-41B1-A26B-84B486BE3BE1},Point,500610.1091,5464217.917,0
Feature,47,TANK,47,BLDG03636,DNV,DISTRICT OF NORTH VANCOUVER,,,,,,4,,CONSTRUCTION,CONSTRUCTION,,,MOUNTAIN HWY RESERVOIR,#50,8-Apr,K STORM,K STORM,,,1,TRUE,1,Source,{4EBA44B2-1208-4B72-A966-342B65629AEF},Point,497397.6594,5467378.238,0
Feature,48,TANK,48,BLDG03642,DNV,DISTRICT OF NORTH VANCOUVER,,,,,,4,,CONSTRUCTION,CONSTRUCTION,,,MOUNTAIN HWY RESERVOIR,#50,8-Apr,K STORM,K STORM,,,1,TRUE,1,Source,{FE09BCCE-822A-431E-9103-3BE97BFB4F9F},Point,497390.9178,5467363.31,0
Feature,49,TANK,49,BLDG04384,DNV,DISTRICT OF NORTH VANCOUVER,,,,,,4,,ASBUILT,ASBUILT,,BLDG01490,RAMSEY ROAD RESERVOIR,#44,13-Jun,K STORM,K STORM,,,1,TRUE,1,Source,{0DAB11B9-56FE-4BBB-B29C-547770A730A2},Point,497580.0686,5466935.249,0
Feature,50,TANK,50,BLDG23384,DNV,DISTRICT OF NORTH VANCOUVER,,,,,,4,,CONSTRUCTION,CONSTRUCTION,,,WOODLANDS RESERVOIR,#54,8-Apr,K STORM,K STORM,,,1,TRUE,1,Source,{06190B88-0FB4-4415-9362-923BE5F6FA41},Point,503847.9894,5465111.102,0
Feature,51,TANK,51,BLDG23385,DNV,DISTRICT OF NORTH VANCOUVER,,,,,,4,,CONSTRUCTION,CONSTRUCTION,DECOMMISSIONED,,UPPER SEYMOUR RESERVOIR,,5-Sep,L FRANKO,L FRANKO,,,0,FALSE,0,None,{9F2A1635-E717-4926-A7E8-FABB54E94B4D},Point,502595.964,5463467.031,0
Feature,52,RESERVOIR,52,,GVRD,GREATER VANCOUVER REGIONAL DISTRICT,,,,,,3,,NO DRAWING,NO DRAWING,,,CAPILANO RESERVOIR,,8-Oct,K STORM,K STORM,,,1,TRUE,1,Source,{6CF4E574-BBFB-43E1-9CAE-8B32D8680F4F},Point,491969.0153,5467518.482,0
Feature,853,PUMP STATION,853,BLDG23758,DNV,DISTRICT OF NORTH VANCOUVER,UTILS_DEPT,UTILITIES_DEPT,2009,,,1,,ASBUILT,ASBUILT,,BLDG23758,BLUERIDGE BOOSTER PUMP STATION,,13-Jun,K STORM,K STORM,,,1,TRUE,0,None,{17954BF8-C365-49ED-8760-8BBB0F58595D},Point,500124.3798,5464193.299,0
